"SUBSTANCE_GROUP","SUBSTANCE","SUBSTANCE_CAS"
"CADMIUM AND CADMIUM COMPOUNDS","CADMIUM-ZINC-LITHOPONE-YELLOW","90604-89-0"
"CADMIUM AND CADMIUM COMPOUNDS","CADMIUM-ZINC-SULPHIDE","12442-27-2"
"CADMIUM AND CADMIUM COMPOUNDS","Cadmium","7440-43-9"
"CADMIUM AND CADMIUM COMPOUNDS","LITHOPONE RED","39283-22-2"
"CHLORINATED FLAME RETARDANTS (CFR)","1,6,7,8,9,14,15,16,17,17,18,18-DODECACHLOROPENTACYCLO[12.2.1.1-{6,9}-.0-{2,13}-.0-{5,10}-]OCTADECA-7,15-DIENE","13560-89-9"
"CHLORINATED FLAME RETARDANTS (CFR)","2,2-BIS(CHLOROMETHYL)TRIMETHYLENE BIS(BIS(2-CHLOROETHYL)PHOSPHATE)","38051-10-4"
"CHLORINATED FLAME RETARDANTS (CFR)","2-PROPANOL, 1,3-DICHLORO-, PHOSPHATE (3:1)","13674-87-8"
"CHLORINATED FLAME RETARDANTS (CFR)","2-PROPANOL, 1-CHLORO-, PHOSPHATE (3:1)","13674-84-5"
"CHLORINATED FLAME RETARDANTS (CFR)","CHLORENDIC ACID","115-28-6"
"CHLORINATED FLAME RETARDANTS (CFR)","HEXACHLOROCYCLOPENTADIENYL-DIBROMOCYCLOOCTANE (HCDBCO)","51936-55-1"
"CHLORINATED FLAME RETARDANTS (CFR)","TRIS(2,3-DICHLORO-1-PROPYL)PHOSPHATE","66108-37-0"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","(CHLOROMETHYL)BIS(4-FLUOROPHENYL)METHYLSILANE","85491-26-5"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","1,1,1,2-TETRACHLORO-2,2-DIFLUOROETHANE","76-11-9"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","1,1,1,2-TETRACHLORO-2-FLUOROETHANE","354-11-0"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","1,1,1,3-TETRACHLORO-2,2,3,3-TETRAFLUOROPROPANE","2268-46-4"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","1,1,1-TRICHLORO-2,2,2-TRIFLUOROETHANE","354-58-5"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","1,1,1-TRICHLOROETHANE","71-55-6"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","1,1,1-TRICHLOROFLUOROETHANE","2366-36-1"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","1,1,1-Trichloropentafluoropropane","4259-43-2"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","1,1,2,2-TETRABROMOETHANE","79-27-6"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","1,1,2,2-TETRACHLORO-1-FLUOROETHANE","354-14-3"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","1,1,2,2-TETRACHLOROETHANE","79-34-5"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","1,1,2-TRICHLORO-1,2-DIFLUOROETHANE","354-15-4"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","1,1,2-TRICHLORO-1-FLUOROETHANE","811-95-0"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","1,1,2-TRICHLORO-2-FLUOROETHANE","359-28-4"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","1,1,2-TRICHLOROETHANE","79-00-5"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","1,1,2-TRICHLOROTRIFLUOROETHANE","76-13-1"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","1,1-DICHLORO-1,2,2,2-TETRAFLUOROETHANE","374-07-2"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","1,1-DICHLORO-1-FLUOROETHANE","1717-00-6"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","1,1-DICHLORO-2-FLUOROETHANE","430-53-5"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","1,1-DICHLOROPROPENE","563-58-6"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","1,1-dichloro-2,2-difluoroethane","471-43-2"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","1,2,2-TRICHLORO-1-FLUOROETHANE, HCFC-131","359-28-2"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","1,2,2-trichloro-1,1-difluoroethane","354-21-2"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","1,2-BICHLOROETHANE","107-06-2"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","1,2-DIBROMO-1,1,2,2-TETRAFLUOROETHANE","124-73-2"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","1,2-DIBROMO-3-CHLOROPROPANE","96-12-8"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","1,2-DICHLORO-1,1,2,3,3,3-HEXAFLUOROPROPANE","661-97-2"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","1,2-DICHLORO-1,1-DIFLUOROETHANE","1649-08-7"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","1,2-DICHLORO-1-METHOXYETHANE","41683-62-9"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","1,2-dichloro-1,2-difluoroethane","431-06-1"
